graph_type,n,seed,original_node_count,original_edge_count,original_density,sampling_method,sampling_rate,sampled_node_count,sampled_edge_count,pagerank_runtime_full_sec,pagerank_runtime_sampled_sec,connected_components_runtime_full_sec,connected_components_runtime_sampled_sec,pagerank_top10_overlap_count,pagerank_top10_overlap_pct,edge_retention_pct,density_change_pct,connected_component_count_diff,pagerank_runtime_saved_pct,cc_runtime_saved_pct,full_connected_component_count,sampled_connected_component_count
watts_strogatz,3000,1435,3000,9000,0.0020006668889629878,random_walk,0.5,1500,3383,0.007128750000000128,0.0034524170000000964,0.0007292500000000146,0.00035624999999983586,3,30.0,37.58888888888889,50.405707508709504,0,51.57051376468477,51.14844017828882,1,1
watts_strogatz,3000,1435,3000,9000,0.0020006668889629878,random_walk,0.75,2250,5813,0.007128750000000128,0.005085208000000119,0.0007292500000000146,0.0005278749999999555,4,40.0,64.58888888888889,14.837455329940871,0,28.66620375241063,27.613986972924938,1,1
watts_strogatz,5000,1436,5000,15000,0.001200240048009602,random_edge,0.25,4112,3750,0.011514500000000094,0.005626583000000185,0.0013144999999998852,0.0009887499999998717,1,10.0,25.0,-63.0348419870008,553,51.13480394285346,24.78128565994994,1,554
watts_strogatz,5000,1436,5000,15000,0.001200240048009602,random_edge,0.5,4903,7500,0.011514500000000094,0.008051458000000178,0.0013144999999998852,0.0010576660000003457,1,10.0,50.0,-48.0018436825787,10,30.075487428893027,19.538531761092575,1,11
watts_strogatz,5000,1436,5000,15000,0.001200240048009602,random_edge,0.75,4995,11250,0.011514500000000094,0.030440082999999785,0.0013144999999998852,0.0015567500000002177,2,20.0,75.0,-24.849759651521765,0,-164.36304659342164,-18.429060479296584,1,1
watts_strogatz,5000,1436,5000,15000,0.001200240048009602,random_node,0.25,1250,891,0.011514500000000094,0.0024158750000000673,0.0013144999999998852,0.000375667000000135,0,0.0,5.94,-4.902930344275429,464,79.0188458031174,71.42130087484459,1,465
watts_strogatz,5000,1436,5000,15000,0.001200240048009602,random_node,0.5,2500,3679,0.011514500000000094,0.004385834000000255,0.0013144999999998852,0.0005777920000000769,1,10.0,24.526666666666667,-1.873704148326001,94,61.910339137607195,56.04473183719077,1,95
watts_strogatz,5000,1436,5000,15000,0.001200240048009602,random_node,0.75,3750,8378,0.011514500000000094,0.007455375000000153,0.0013144999999998852,0.0008239579999997915,3,30.0,55.85333333333333,-0.6985637651521954,1,35.252290590124694,37.31776340815037,1,2
watts_strogatz,5000,1436,5000,15000,0.001200240048009602,random_walk,0.25,1250,2476,0.011514500000000094,0.0027602500000001307,0.0013144999999998852,0.0003543329999997624,0,0.0,16.506666666666668,164.2652575393648,0,76.02805158712833,73.0442753898978,1,1
watts_strogatz,5000,1436,5000,15000,0.001200240048009602,random_walk,0.5,2500,5640,0.011514500000000094,0.005349790999999993,0.0013144999999998852,0.000577292000000007,1,10.0,37.6,50.43009203681472,0,53.538659950497646,56.08276911372708,1,1
watts_strogatz,5000,1436,5000,15000,0.001200240048009602,random_walk,0.75,3750,9709,0.011514500000000094,0.007740249999999893,0.0013144999999998852,0.0009115840000002429,2,20.0,64.72666666666666,15.077302984499575,0,32.77823613704607,30.651654621504566,1,1
